online_order,book_table,rate,votes,approx_cost_for_two_people,restaurant_type,location,has_phone
1,0,3.4,14,200.0,Delivery,JP Nagar,1
1,0,4.1,157,300.0,Desserts,Koramangala 6th Block,1
1,0,3.8,71,1000.0,Dine-out,Koramangala 5th Block,1
0,1,3.7,57,3000.0,Dine-out,MG Road,1
1,0,3.7,51,300.0,Dine-out,JP Nagar,1
1,0,3.9,66,500.0,Cafes,Brigade Road,1
1,0,3.6,11,200.0,Desserts,Jayanagar,1
1,0,3.0,11,200.0,Dine-out,Koramangala 7th Block,1
1,0,3.7,21,300.0,Dine-out,Koramangala 6th Block,1
0,0,4.2,2380,1400.0,Pubs and bars,Koramangala 7th Block,1
0,1,4.0,427,1400.0,Pubs and bars,Old Airport Road,1
0,0,3.5,70,200.0,Dine-out,Koramangala 7th Block,1
0,0,2.9,33,100.0,Dine-out,JP Nagar,1
1,0,1.0,0,100.0,Delivery,HSR,1
1,0,3.3,292,600.0,Delivery,BTM,1
1,0,3.8,38,500.0,Dine-out,Koramangala 7th Block,1
1,0,3.2,47,300.0,Delivery,Koramangala 6th Block,1
0,0,3.7,0,250.0,Delivery,Jayanagar,1
1,0,3.6,36,250.0,Dine-out,Koramangala 4th Block,1
0,0,3.6,55,300.0,Dine-out,Residency Road,1
1,0,3.9,41,400.0,Delivery,Marathahalli,1
1,0,3.9,58,500.0,Delivery,Koramangala 4th Block,0
0,0,3.1,7,300.0,Delivery,Koramangala 6th Block,1
0,0,3.9,21,1500.0,Dine-out,Brookefield,1
1,0,3.3,7,150.0,Delivery,Koramangala 5th Block,1
1,0,2.4,135,600.0,Delivery,Marathahalli,1
0,1,4.5,1228,1200.0,Dine-out,Koramangala 4th Block,1
1,1,3.5,155,600.0,Dine-out,Jayanagar,1
0,0,3.7,0,500.0,Delivery,Old Airport Road,1
1,0,3.7,34,300.0,Dine-out,Whitefield,1
1,0,3.4,34,650.0,Delivery,Koramangala 7th Block,1
1,0,3.5,137,350.0,Dine-out,Bellandur,1
1,0,3.8,505,450.0,Delivery,Basavanagudi,1
1,0,3.7,51,300.0,Delivery,Koramangala 6th Block,1
1,1,4.0,942,1300.0,Delivery,HSR,1
1,0,3.0,0,300.0,Delivery,Bannerghatta Road,1
0,0,4.4,369,200.0,Desserts,Jayanagar,1
0,0,3.6,34,650.0,Dine-out,Koramangala 5th Block,1
1,0,3.2,10,450.0,Delivery,Brookefield,1
1,0,3.8,110,400.0,Delivery,Koramangala 5th Block,1
0,0,3.6,11,300.0,Dine-out,Brigade Road,0
1,0,3.9,39,300.0,Delivery,Bellandur,1
1,0,3.1,105,400.0,Delivery,Brookefield,1
0,0,3.7,34,300.0,Delivery,Koramangala 5th Block,1
0,0,3.9,26,100.0,Dine-out,Brigade Road,1
0,0,3.0,0,250.0,Dine-out,JP Nagar,1
0,0,4.0,23,500.0,Dine-out,Bellandur,1
0,0,4.2,226,200.0,Dine-out,Koramangala 5th Block,1
0,0,3.7,134,200.0,Dine-out,Sarjapur Road,1
1,1,3.8,146,1000.0,Dine-out,Koramangala 6th Block,1
1,0,3.4,24,500.0,Dine-out,Koramangala 4th Block,1
0,0,3.6,39,400.0,Dine-out,Koramangala 6th Block,1
0,0,4.0,90,200.0,Desserts,Brookefield,1
0,0,3.6,54,250.0,Delivery,Koramangala 5th Block,1
1,0,3.5,177,500.0,Delivery,BTM,1
1,0,5.0,0,250.0,Dine-out,JP Nagar,1
1,0,4.1,268,800.0,Delivery,Bellandur,1
1,1,4.1,364,1200.0,Dine-out,Basavanagudi,1
1,0,4.0,148,400.0,Delivery,Kammanahalli,1
1,0,3.6,34,300.0,Delivery,Koramangala 5th Block,1
1,1,3.3,30,850.0,Dine-out,Kammanahalli,1
1,1,4.4,204,800.0,Delivery,Koramangala 4th Block,1
0,0,4.0,0,900.0,Pubs and bars,Whitefield,1
1,0,2.6,174,450.0,Delivery,Jayanagar,1
1,0,4.0,118,400.0,Delivery,BTM,1
1,1,4.1,602,1100.0,Dine-out,Koramangala 7th Block,1
0,0,3.9,391,500.0,Dine-out,Old Airport Road,1
0,0,5.0,0,500.0,Desserts,Brookefield,1
0,1,5.0,0,1000.0,Delivery,Koramangala 5th Block,1
0,0,3.7,0,250.0,Delivery,Kalyan Nagar,1
0,1,4.5,2014,1400.0,Drinks & nightlife,Koramangala 7th Block,1
0,0,3.6,17,300.0,Cafes,Koramangala 7th Block,1
1,0,3.7,52,350.0,Dine-out,Bellandur,1
1,0,3.1,38,300.0,Delivery,Brigade Road,1
0,0,5.0,0,100.0,Desserts,Koramangala 5th Block,1
0,0,2.5,0,300.0,Desserts,Brookefield,1
1,0,4.4,1290,400.0,Delivery,Koramangala 4th Block,0
1,0,3.7,48,250.0,Delivery,Sarjapur Road,1
1,1,4.4,654,1000.0,Dine-out,Indiranagar,1
1,0,3.3,12,500.0,Delivery,Koramangala 4th Block,1
0,0,3.3,7,250.0,Delivery,Koramangala 5th Block,1
0,0,3.9,41,200.0,Desserts,Jayanagar,1
0,0,4.0,0,450.0,Dine-out,Sarjapur Road,1
1,0,3.7,38,300.0,Delivery,Whitefield,1
0,0,3.7,0,300.0,Dine-out,Marathahalli,1
1,0,3.7,0,700.0,Dine-out,Sarjapur Road,1
1,0,3.1,89,350.0,Delivery,BTM,1
1,0,3.5,9,300.0,Delivery,Koramangala 6th Block,1
1,0,3.6,24,300.0,Delivery,Bannerghatta Road,1
0,1,4.4,4096,1200.0,Drinks & nightlife,Koramangala 7th Block,1
1,0,3.5,23,300.0,Delivery,Basavanagudi,1
0,1,3.9,165,1000.0,Dine-out,JP Nagar,1
0,0,4.5,210,600.0,Desserts,BTM,1
0,1,4.2,1214,1200.0,Dine-out,BTM,1
1,0,3.8,282,350.0,Dine-out,HSR,1
0,0,3.5,50,600.0,Dine-out,Kammanahalli,1
0,0,3.3,6,250.0,Delivery,Jayanagar,1
1,0,3.6,243,1000.0,Dine-out,Koramangala 6th Block,1
1,0,4.0,558,900.0,Delivery,Church Street,1
1,0,4.2,78,800.0,Dine-out,Jayanagar,1
1,0,3.2,123,600.0,Dine-out,Kalyan Nagar,1
1,0,3.7,21,300.0,Delivery,Malleshwaram,1
1,1,3.8,81,800.0,Delivery,Frazer Town,1
1,0,4.1,488,700.0,Dine-out,Residency Road,1
0,0,2.8,43,500.0,Dine-out,Sarjapur Road,1
1,0,3.8,26,400.0,Delivery,BTM,1
1,1,4.7,4657,1300.0,Desserts,Brigade Road,1
0,0,3.8,148,550.0,Delivery,Basavanagudi,1
0,0,3.3,5,200.0,Dine-out,Jayanagar,1
0,0,3.7,0,100.0,Delivery,Church Street,1
1,0,4.2,249,500.0,Delivery,BTM,1
1,0,3.0,61,650.0,Delivery,JP Nagar,1
0,0,4.6,2259,1100.0,Dine-out,Brigade Road,1
0,0,4.0,0,800.0,Desserts,Koramangala 4th Block,1
1,0,4.0,30,500.0,Desserts,BTM,1
1,1,3.8,189,800.0,Delivery,HSR,1
1,0,2.9,7,400.0,Cafes,BTM,1
1,0,3.4,9,350.0,Dine-out,Malleshwaram,1
1,0,3.9,388,650.0,Delivery,Banashankari,1
1,1,4.6,2906,600.0,Cafes,Marathahalli,1
0,0,3.7,24,100.0,Desserts,Residency Road,1
0,0,3.8,210,500.0,Delivery,Marathahalli,1
1,0,3.9,157,450.0,Delivery,Brigade Road,1
1,0,2.5,22,1000.0,Dine-out,Lavelle Road,1
1,0,3.3,584,600.0,Delivery,Old Airport Road,1
1,0,3.7,0,200.0,Delivery,Rajajinagar,1
1,0,3.6,88,400.0,Dine-out,Electronic City,1
0,0,4.5,2800,1200.0,Dine-out,JP Nagar,1
1,0,3.8,351,300.0,Delivery,Koramangala 6th Block,1
1,0,3.0,0,1500.0,Delivery,Koramangala 6th Block,1
0,0,2.6,56,500.0,Delivery,BTM,1
1,0,3.5,10,200.0,Delivery,Koramangala 5th Block,1
1,0,3.4,122,600.0,Dine-out,Lavelle Road,1
0,0,3.6,39,400.0,Delivery,Koramangala 6th Block,1
1,0,3.2,129,400.0,Delivery,Old Airport Road,1
0,0,3.2,5,200.0,Dine-out,Whitefield,1
0,0,3.7,43,700.0,Dine-out,Banashankari,1
0,0,1.5,0,500.0,Delivery,Bellandur,1
1,0,3.3,211,550.0,Delivery,Electronic City,1
