name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),listed_in(city),has_phone,restaurant_type,Indian_dish,Foreign_dish,Mixed_dish
Jalsa,Yes,Yes,4.1,775,800.0,Buffet,Banashankari,1,Casual Dining,0,0,1
Spice Elephant,Yes,No,4.1,787,800.0,Buffet,Banashankari,1,Casual Dining,0,0,1
San Churro Cafe,Yes,No,3.8,918,800.0,Buffet,Banashankari,1,mixed,0,1,0
Addhuri Udupi Bhojana,No,No,3.7,88,300.0,Buffet,Banashankari,1,Quick Bites,1,0,0
Grand Village,No,No,3.8,166,600.0,Buffet,Banashankari,1,Casual Dining,1,0,0
Timepass Dinner,Yes,No,3.8,286,600.0,Buffet,Banashankari,1,Casual Dining,1,0,0
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800.0,Buffet,Banashankari,1,Casual Dining,0,0,1
Onesta,Yes,Yes,4.6,2556,600.0,Cafes,Banashankari,1,mixed,0,1,0
Penthouse Cafe,Yes,No,4.0,324,700.0,Cafes,Banashankari,1,Cafe,0,1,0
Smacznego,Yes,No,4.2,504,550.0,Cafes,Banashankari,1,Cafe,0,1,0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,500.0,Cafes,Banashankari,1,Cafe,0,1,0
Cafe Shuffle,Yes,Yes,4.2,150,600.0,Cafes,Banashankari,1,Cafe,0,1,0
The Coffee Shack,Yes,Yes,4.2,164,500.0,Cafes,Banashankari,1,Cafe,0,1,0
Caf-Eleven,No,No,4.0,424,450.0,Cafes,Banashankari,1,Cafe,0,1,0
San Churro Cafe,Yes,No,3.8,918,800.0,Cafes,Banashankari,1,mixed,0,1,0
Cafe Vivacity,Yes,No,3.8,90,650.0,Cafes,Banashankari,1,Cafe,0,1,0
Catch-up-ino,Yes,No,3.9,133,800.0,Cafes,Banashankari,1,Cafe,0,1,0
Kirthi's Biryani,Yes,No,3.8,144,700.0,Cafes,Banashankari,1,Cafe,0,1,0
T3H Cafe,No,No,3.9,93,300.0,Cafes,Banashankari,1,Cafe,0,1,0
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,400.0,Cafes,Banashankari,1,Cafe,0,1,0
The Vintage Cafe,Yes,No,3.0,62,400.0,Cafes,Banashankari,1,Cafe,0,0,1
Woodee Pizza,Yes,No,3.7,180,500.0,Cafes,Banashankari,1,Cafe,0,1,0
Cafe Coffee Day,No,No,3.6,28,900.0,Cafes,Banashankari,1,Cafe,0,1,0
My Tea House,Yes,No,3.6,62,600.0,Cafes,Banashankari,1,mixed,0,1,0
Hide Out Cafe,No,No,3.7,31,300.0,Cafes,Banashankari,1,Cafe,0,1,0
CAFE NOVA,No,No,3.2,11,600.0,Cafes,Banashankari,1,Cafe,0,1,0
Coffee Tindi,Yes,No,3.8,75,200.0,Cafes,Banashankari,1,mixed,0,0,1
Sea Green Cafe,No,No,3.3,4,500.0,Cafes,Banashankari,1,Cafe,0,1,0
Cuppa,No,No,3.3,23,550.0,Cafes,Banashankari,1,Cafe,0,1,0
Srinathji's Cafe,No,No,3.8,148,550.0,Cafes,Banashankari,1,mixed,0,0,1
Redberrys,Yes,No,4.0,219,600.0,Cafes,Banashankari,1,Cafe,0,1,0
Foodiction,Yes,No,2.8,506,500.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Sweet Truth,Yes,No,3.9,35,500.0,Delivery,Banashankari,1,Delivery,0,1,0
Ovenstory Pizza,Yes,No,3.9,172,750.0,Delivery,Banashankari,1,Delivery,0,1,0
Faasos,Yes,No,4.2,415,500.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Behrouz Biryani,Yes,No,3.9,230,650.0,Delivery,Banashankari,1,Delivery,1,0,0
Fast And Fresh,Yes,No,2.8,91,400.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Szechuan Dragon,Yes,No,4.2,1647,600.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Empire Restaurant,Yes,No,4.4,4884,750.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Chaatimes,Yes,No,3.8,133,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Havyaka Mess,No,No,3.9,28,300.0,Delivery,Banashankari,1,Mess,1,0,0
McDonald's,Yes,No,3.9,286,500.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Domino's Pizza,Yes,No,3.9,540,800.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Onesta,Yes,Yes,4.6,2556,600.0,Delivery,Banashankari,1,mixed,0,1,0
Hotboxit,No,No,3.8,36,400.0,Delivery,Banashankari,1,Delivery,0,0,1
Kitchen Garden,Yes,No,3.6,244,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Recipe,Yes,No,4.0,804,450.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Beijing Bites,Yes,No,3.7,679,850.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Tasty Bytes,Yes,No,3.1,245,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Petoo,No,No,3.7,21,450.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Shree Cool Point,Yes,No,4.1,28,150.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Corner House Ice Cream,No,No,4.3,345,400.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Biryanis And More,Yes,No,4.0,618,750.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Roving Feast,No,No,4.0,1047,450.0,Delivery,Banashankari,1,Quick Bites,0,1,0
FreshMenu,Yes,No,3.9,627,450.0,Delivery,Banashankari,1,Delivery,0,0,1
Banashankari Donne Biriyani,Yes,No,3.8,104,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Wamama,Yes,Yes,4.2,354,800.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Five Star Chicken,No,No,3.6,55,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
XO Belgian Waffle,Yes,No,3.7,17,400.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Peppy Peppers,No,No,4.2,244,800.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Goa 0 Km,Yes,Yes,3.6,163,800.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Chinese Kitchen,Yes,No,3.8,58,150.0,Delivery,Banashankari,1,Quick Bites,0,1,0
1947,No,Yes,4.0,808,850.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Cake of the Day,No,No,3.7,78,150.0,Delivery,Banashankari,1,mixed,0,1,0
Kabab Magic,Yes,No,4.1,1720,400.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Namma Brahmin's Idli,Yes,No,3.6,34,100.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Gustoes Beer House,No,No,4.1,868,1200.0,Delivery,Banashankari,1,Pub,0,0,1
Sugar Rush,No,No,3.8,39,300.0,Delivery,Banashankari,1,Bakery,0,1,0
Burger King,Yes,No,3.2,71,600.0,Delivery,Banashankari,1,Quick Bites,0,1,0
The Good Bowl,Yes,No,3.6,6,500.0,Delivery,Banashankari,1,mixed,0,0,1
The Biryani Cafe,No,No,4.1,520,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Spicy Tandoor,No,No,4.5,0,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
LSD Cafe,No,No,2.9,84,700.0,Delivery,Banashankari,1,Delivery,0,0,1
Rolls On Wheels,No,No,3.6,299,300.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Om Sri Vinayaka Chats,No,No,3.691216896431196,0,500.0,Delivery,Banashankari,1,mixed,0,1,0
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Devanna Dum Biriyani Centre,Yes,No,3.6,28,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Kolbeh,No,No,3.7,22,500.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Upahar Sagar,No,No,3.8,39,350.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Kadalu Sea Food Restaurant,Yes,No,3.8,153,500.0,Delivery,Banashankari,1,Fine Dining,0,0,1
Frozen Bottle,Yes,No,4.2,146,400.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
Parimala Sweets,No,No,3.5,14,200.0,Delivery,Banashankari,1,Sweet Shop,0,1,0
Vaishali Deluxe,No,No,3.8,42,700.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Chill Out,No,No,4.0,0,100.0,Delivery,Banashankari,1,Quick Bites,0,0,1
The Big O Bakes,No,No,4.0,66,300.0,Delivery,Banashankari,1,Bakery,0,1,0
Meghana Foods,Yes,No,4.4,4401,600.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Krishna Sagar,No,No,3.5,31,200.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Dessert Rose,No,No,3.5,7,500.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Chickpet Donne Biryani House,No,No,3.7,21,250.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Me And My Cake,No,No,1.0,0,500.0,Delivery,Banashankari,1,Delivery,0,1,0
Sunsadm,No,No,3.691216896431196,0,400.0,Delivery,Banashankari,1,mixed,1,0,0
Annapooraneshwari Mess,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,Mess,1,0,0
Thanco's Natural Ice Creams,No,No,3.2,9,300.0,Delivery,Banashankari,1,Dessert Parlor,0,0,1
Nandhini Deluxe,No,No,2.6,283,600.0,Delivery,Banashankari,1,Casual Dining,1,0,0
Vi Ra's Bar and Restaurant,No,No,3.3,62,800.0,Delivery,Banashankari,1,Bar,0,0,1
Kaggis,No,No,3.8,64,250.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Ayda Persian Kitchen,No,No,3.7,39,950.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Chatar Patar,No,No,3.7,65,300.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Polar Bear,Yes,No,3.8,71,400.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Kidambi's Kitchen,No,No,3.5,52,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Mane Thindi,No,No,3.7,130,200.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Kotian Karavali Restaurant,No,No,3.5,10,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Floured-Baked With Love,No,No,3.8,45,400.0,Delivery,Banashankari,1,mixed,0,1,0
CAFE NOVA,No,No,3.2,11,600.0,Delivery,Banashankari,1,Cafe,0,1,0
Cakes & Slices,No,No,3.5,13,300.0,Delivery,Banashankari,1,Bakery,0,1,0
Spice 9,No,No,3.4,8,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Coffee Shopee,No,No,3.691216896431196,0,250.0,Delivery,Banashankari,1,mixed,0,1,0
Naveen Kabab & Biriyani Mane,No,No,3.2,9,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Katriguppe Donne Biryani,No,No,3.2,4,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Hari Super Sandwich,No,No,1.0,0,200.0,Delivery,Banashankari,1,mixed,0,1,0
Atithi Point Ande Ka Funda,No,No,3.1,29,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Just Bake,No,No,3.4,8,400.0,Delivery,Banashankari,1,Bakery,0,1,0
Dharwad Line Bazaar Mishra Pedha,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Cake Bite,No,No,1.0,0,300.0,Delivery,Banashankari,1,Bakery,0,1,0
Aarush's Food Plaza,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Wood Stove,No,No,5.0,0,150.0,Delivery,Banashankari,1,mixed,1,0,0
Kulfi & More,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Kannadigas Karavali,No,No,3.691216896431196,0,250.0,Delivery,Banashankari,1,Quick Bites,1,0,0
K27 - The Pub,No,No,3.1,30,1000.0,Delivery,Banashankari,1,Bar,0,0,1
Bengaluru Coffee House,Yes,No,4.1,201,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
New Mangalore Lunch Home,No,No,3.3,7,200.0,Delivery,Banashankari,0,Quick Bites,1,0,0
Coffee Bytes,No,No,3.1,6,100.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Parjanya Chat Zone,No,No,3.3,17,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,200.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Soms Kitchen & Bakes,No,No,3.691216896431196,0,400.0,Delivery,Banashankari,1,Delivery,0,0,1
Banashankari Nati Style,No,No,3.691216896431196,0,350.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Ruchi Maayaka,No,No,3.3,8,100.0,Delivery,Banashankari,1,Delivery,1,0,0
Mohitesh Hut Roll,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Sri Basaveshwar Jolada Rotti Oota,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Roll Magic Fast Food,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,mixed,0,0,1
Foodlieious Multi Cuisine,No,No,3.691216896431196,0,100.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Thanishka Nati And Karavali Style,No,No,3.691216896431196,0,400.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Swathi Cool Point,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
Kaumudis Juoice,No,No,5.0,0,150.0,Delivery,Banashankari,1,mixed,0,1,0
Amma - Manae,No,No,3.691216896431196,0,400.0,Delivery,Banashankari,1,mixed,1,0,0
Sri Sai Tiffannies,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Hotel Andhra Speices,No,No,3.691216896431196,0,250.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Sri Murari Family Restaurant,No,No,4.5,0,250.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Aramane Donne Biriyani,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Darkolates,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,Confectionery,0,1,0
Swaada Healthy Kitchen,No,No,3.691216896431196,0,350.0,Delivery,Banashankari,1,mixed,0,1,0
Gawdaru Mane Beriyani,No,No,3.691216896431196,0,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Melting Melodies,No,No,3.691216896431196,0,100.0,Delivery,Banashankari,1,mixed,0,1,0
New Indraprasta,No,No,3.691216896431196,0,150.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Anna Kuteera,Yes,No,4.0,771,450.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Darbar,No,No,3.0,98,800.0,Delivery,Banashankari,1,Bar,0,0,1
Vijayalakshmi,Yes,No,3.9,47,200.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Sri Udupi Food Hub,Yes,Yes,4.1,175,500.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Udupi Upahar,Yes,No,3.8,58,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
House Of Kebabs,Yes,No,3.8,540,650.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Roll N Rock,Yes,No,3.8,124,400.0,Delivery,Banashankari,1,Quick Bites,0,0,1
BOX8- Desi Meals,Yes,No,4.1,340,500.0,Delivery,Banashankari,1,mixed,0,0,1
KFC,Yes,No,3.8,505,450.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Bitez,No,No,1.0,0,100.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Roll Over,Yes,No,4.1,438,500.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Imperial Restaurant,Yes,No,3.7,264,750.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Lassi Shop,Yes,No,3.9,169,150.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
The Fortuna,Yes,No,3.0,67,250.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Wahab,Yes,No,3.7,97,350.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Al Diwan Biryanis And More,Yes,No,3.3,12,300.0,Delivery,Banashankari,1,mixed,1,0,0
New Gowda's Fried Chicken,Yes,No,3.3,12,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Canton,Yes,No,3.6,195,800.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,300.0,Delivery,Banashankari,1,mixed,0,1,0
The Blue Wagon - Kitchen,Yes,No,4.6,228,400.0,Delivery,Banashankari,1,Cafe,0,1,0
HOT COFFEE,Yes,No,4.1,70,150.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Patio 805,Yes,Yes,4.1,364,1200.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Lassi Corner,Yes,No,3.7,107,150.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
Sagar Deluxe,Yes,No,3.2,167,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Kanti Sweets,Yes,No,4.0,115,400.0,Delivery,Banashankari,1,Sweet Shop,0,1,0
Vegetalia,Yes,No,3.7,27,400.0,Delivery,Banashankari,1,mixed,0,1,0
Aramane Donne Biryani,Yes,No,3.5,57,200.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Ande Ka Funda,Yes,No,3.8,120,250.0,Delivery,Banashankari,1,Quick Bites,0,0,1
